trip_id,driver_id,date,duration_min,distance_km,fare,earnings_velocity,motion_events_count,audio_events_count,flagged_moments_count,max_severity,stress_score,trip_quality_rating
TRIP055,DRV074,2024-02-06,31,18.8,186,360.0,2,0,1,low,0.33,good
TRIP056,DRV026,2024-02-06,22,10.8,432,1178.18,0,0,0,none,0.2,excellent
TRIP057,DRV168,2024-02-06,36,19.4,408,680.0,2,0,2,low,0.35,good
TRIP058,DRV107,2024-02-06,37,9.5,300,486.49,0,0,0,none,0.2,excellent
TRIP059,DRV028,2024-02-06,30,17.7,260,520.0,1,0,1,low,0.33,good
TRIP060,DRV175,2024-02-06,21,10.1,280,800.0,5,0,1,high,0.51,fair
TRIP061,DRV148,2024-02-06,19,13.9,331,1045.26,1,0,1,low,0.3,good
TRIP062,DRV047,2024-02-06,35,13.1,266,456.0,0,0,0,none,0.22,excellent
TRIP063,DRV189,2024-02-06,29,13.7,328,678.62,2,1,1,medium,0.42,good
TRIP064,DRV097,2024-02-06,37,8.4,167,270.81,8,0,3,high,0.5,fair
TRIP065,DRV060,2024-02-06,25,11.0,336,806.4,0,0,0,none,0.18,excellent
TRIP066,DRV135,2024-02-06,21,14.4,261,745.71,1,1,1,medium,0.39,good
TRIP067,DRV153,2024-02-06,30,19.1,270,540.0,5,0,1,medium,0.5,fair
TRIP068,DRV182,2024-02-06,25,11.6,222,532.8,1,0,1,low,0.28,excellent
TRIP069,DRV085,2024-02-06,38,12.9,157,247.89,0,0,0,none,0.2,excellent
TRIP070,DRV207,2024-02-06,33,13.7,351,638.18,2,0,2,medium,0.37,good
TRIP071,DRV011,2024-02-06,31,18.5,191,369.68,2,0,2,medium,0.39,good
TRIP072,DRV060,2024-02-06,34,8.8,355,626.47,5,0,1,high,0.53,fair
TRIP073,DRV031,2024-02-06,28,13.4,154,330.0,2,0,1,low,0.33,good
TRIP074,DRV128,2024-02-06,38,13.3,209,330.0,0,0,0,none,0.19,excellent
TRIP075,DRV056,2024-02-06,27,11.8,182,404.44,0,0,0,none,0.2,excellent
TRIP076,DRV189,2024-02-06,38,17.2,444,701.05,1,0,1,low,0.33,good
TRIP077,DRV206,2024-02-06,32,13.7,208,390.0,2,0,1,medium,0.37,good
TRIP078,DRV194,2024-02-06,28,17.6,241,516.43,2,0,2,medium,0.41,good
TRIP079,DRV143,2024-02-06,30,18.5,432,864.0,0,0,0,none,0.19,excellent
TRIP080,DRV172,2024-02-06,38,15.3,257,405.79,3,0,2,high,0.39,good
TRIP081,DRV048,2024-02-06,26,16.4,226,521.54,3,2,2,high,0.51,fair
TRIP082,DRV066,2024-02-06,37,11.1,185,300.0,0,0,0,none,0.22,excellent
TRIP083,DRV151,2024-02-06,21,8.2,409,1168.57,7,2,2,high,0.52,fair
TRIP084,DRV112,2024-02-06,33,9.4,244,443.64,2,0,1,medium,0.36,good
TRIP085,DRV133,2024-02-06,26,11.5,393,906.92,2,0,1,medium,0.38,good
TRIP086,DRV034,2024-02-06,37,10.6,284,460.54,3,2,2,high,0.4,good
TRIP087,DRV011,2024-02-06,23,12.9,214,558.26,3,2,2,high,0.47,good
TRIP088,DRV043,2024-02-06,37,13.4,267,432.97,2,2,1,high,0.44,good
TRIP089,DRV078,2024-02-06,32,9.0,380,712.5,8,2,2,high,0.53,fair
TRIP090,DRV003,2024-02-06,30,16.2,336,672.0,0,0,0,none,0.19,excellent
TRIP091,DRV039,2024-02-06,26,8.9,425,980.77,0,0,0,none,0.21,excellent
TRIP092,DRV059,2024-02-06,33,18.9,450,818.18,1,0,1,low,0.35,good
TRIP093,DRV090,2024-02-06,19,8.1,398,1256.84,5,2,2,high,0.4,good
TRIP094,DRV139,2024-02-06,29,9.6,426,881.38,0,0,0,none,0.19,excellent
TRIP095,DRV088,2024-02-06,23,14.0,313,816.52,1,0,0,none,0.3,good
TRIP096,DRV041,2024-02-06,28,16.5,361,773.57,1,0,0,none,0.23,excellent
TRIP097,DRV099,2024-02-06,19,19.7,395,1247.37,3,0,2,high,0.39,good
TRIP098,DRV083,2024-02-06,29,19.1,284,587.59,4,0,2,low,0.39,good
TRIP099,DRV004,2024-02-06,26,14.2,363,837.69,1,0,2,medium,0.37,good
TRIP100,DRV013,2024-02-06,33,17.2,217,394.55,1,0,1,medium,0.37,good
TRIP101,DRV016,2024-02-06,32,8.6,216,405.0,0,0,0,none,0.21,excellent
TRIP102,DRV183,2024-02-06,33,11.1,379,689.09,0,0,0,none,0.21,excellent
TRIP103,DRV114,2024-02-06,32,12.3,427,800.62,0,0,0,none,0.2,excellent
TRIP104,DRV021,2024-02-06,22,9.5,187,510.0,1,0,2,low,0.33,good
TRIP105,DRV100,2024-02-06,23,17.0,279,727.83,1,0,0,none,0.28,excellent
TRIP106,DRV205,2024-02-06,24,15.0,142,355.0,2,0,2,medium,0.4,good
TRIP107,DRV046,2024-02-06,31,19.0,266,514.84,0,0,0,none,0.22,excellent
TRIP108,DRV202,2024-02-06,28,8.3,202,432.86,3,0,2,low,0.38,good
TRIP109,DRV003,2024-02-06,28,9.8,181,387.86,5,0,1,high,0.52,fair
TRIP110,DRV198,2024-02-06,33,13.4,277,503.64,2,0,1,low,0.38,good
TRIP111,DRV183,2024-02-06,19,15.9,371,1171.58,4,2,2,high,0.43,good
TRIP112,DRV095,2024-02-06,36,9.6,164,273.33,5,0,1,medium,0.49,good
TRIP113,DRV056,2024-02-06,19,16.9,420,1326.32,2,1,1,high,0.42,good
TRIP114,DRV174,2024-02-06,30,11.1,262,524.0,0,0,0,none,0.2,excellent
TRIP115,DRV132,2024-02-06,18,18.2,223,743.33,0,0,0,none,0.21,excellent
TRIP116,DRV195,2024-02-06,38,17.0,218,344.21,2,0,2,low,0.35,good
TRIP117,DRV032,2024-02-06,31,16.8,298,576.77,5,0,1,high,0.56,fair
TRIP118,DRV124,2024-02-06,29,16.0,328,678.62,6,0,2,medium,0.4,good
TRIP119,DRV160,2024-02-06,30,13.7,428,856.0,0,0,0,none,0.2,excellent
TRIP120,DRV016,2024-02-06,31,17.7,235,454.84,1,0,0,none,0.28,excellent
TRIP121,DRV004,2024-02-06,19,14.2,377,1190.53,0,0,0,none,0.21,excellent
TRIP122,DRV161,2024-02-06,22,19.2,409,1115.45,4,3,3,high,0.53,fair
TRIP123,DRV126,2024-02-06,27,13.6,180,400.0,0,0,0,none,0.22,excellent
TRIP124,DRV084,2024-02-06,22,19.8,293,799.09,2,0,1,low,0.32,good
TRIP125,DRV198,2024-02-06,27,14.8,422,937.78,1,1,1,medium,0.38,good
TRIP126,DRV157,2024-02-06,21,14.1,351,1002.86,1,0,0,none,0.31,good
TRIP127,DRV108,2024-02-06,36,17.8,321,535.0,0,0,0,none,0.19,excellent
TRIP128,DRV141,2024-02-06,34,8.2,376,663.53,0,0,0,none,0.19,excellent
TRIP129,DRV052,2024-02-06,30,8.5,353,706.0,0,0,0,none,0.24,excellent
TRIP130,DRV094,2024-02-06,36,16.7,370,616.67,3,2,2,high,0.45,good
TRIP131,DRV197,2024-02-06,23,10.5,180,469.57,0,0,0,none,0.2,excellent
TRIP132,DRV170,2024-02-06,21,13.2,149,425.71,1,0,2,medium,0.34,good
TRIP133,DRV179,2024-02-06,23,15.9,375,978.26,0,0,0,none,0.21,excellent
TRIP134,DRV031,2024-02-06,37,16.7,295,478.38,1,0,1,low,0.33,good
TRIP135,DRV143,2024-02-06,30,17.7,184,368.0,0,0,0,none,0.2,excellent
TRIP136,DRV039,2024-02-06,21,17.8,236,674.29,0,0,0,none,0.19,excellent
TRIP137,DRV021,2024-02-06,38,9.7,263,415.26,2,0,1,low,0.38,good
TRIP138,DRV127,2024-02-06,35,10.3,294,504.0,0,0,0,none,0.21,excellent
TRIP139,DRV043,2024-02-06,31,8.3,225,435.48,5,0,2,high,0.45,good
TRIP140,DRV086,2024-02-06,32,19.6,381,714.38,0,0,0,none,0.21,excellent
TRIP141,DRV060,2024-02-06,25,10.4,431,1034.4,4,0,2,high,0.43,good
TRIP142,DRV053,2024-02-06,28,8.1,361,773.57,0,0,0,none,0.19,excellent
TRIP143,DRV042,2024-02-06,36,15.2,423,705.0,5,0,1,high,0.55,fair
TRIP144,DRV042,2024-02-06,30,13.8,442,884.0,0,0,0,none,0.2,excellent
TRIP145,DRV074,2024-02-06,33,10.8,171,310.91,1,0,1,low,0.34,good
TRIP146,DRV039,2024-02-06,28,14.6,277,593.57,1,0,1,low,0.35,good
TRIP147,DRV138,2024-02-06,21,13.9,317,905.71,0,0,0,none,0.22,excellent
TRIP148,DRV024,2024-02-06,23,11.5,238,620.87,5,0,1,high,0.54,fair
TRIP149,DRV134,2024-02-06,34,10.6,313,552.35,5,0,1,high,0.5,fair
TRIP150,DRV179,2024-02-06,32,9.6,290,543.75,5,0,1,high,0.49,good
TRIP151,DRV001,2024-02-06,38,16.8,381,601.58,4,0,2,high,0.48,good
TRIP152,DRV038,2024-02-06,24,11.4,184,460.0,0,0,0,none,0.19,excellent
TRIP153,DRV001,2024-02-06,24,9.9,391,977.5,0,0,0,none,0.19,excellent
TRIP154,DRV169,2024-02-06,27,10.8,425,944.44,9,0,1,high,0.64,fair
TRIP155,DRV127,2024-02-06,26,12.3,221,510.0,1,0,1,low,0.33,good
TRIP156,DRV048,2024-02-06,20,12.1,198,594.0,0,0,0,none,0.2,excellent
TRIP157,DRV156,2024-02-06,25,13.8,314,753.6,2,2,2,high,0.43,good
TRIP158,DRV205,2024-02-06,35,11.2,217,372.0,0,0,0,none,0.2,excellent
TRIP159,DRV025,2024-02-06,21,16.5,364,1040.0,4,0,2,high,0.43,good
TRIP160,DRV068,2024-02-06,21,19.7,192,548.57,5,0,1,high,0.52,fair
TRIP161,DRV130,2024-02-06,21,10.0,200,571.43,0,0,0,none,0.18,excellent
TRIP162,DRV193,2024-02-06,27,16.5,399,886.67,6,0,2,high,0.56,fair
TRIP163,DRV104,2024-02-06,38,12.4,210,331.58,0,0,0,none,0.17,excellent
TRIP164,DRV017,2024-02-06,31,17.2,143,276.77,1,0,0,none,0.29,excellent
TRIP165,DRV203,2024-02-06,28,11.4,227,486.43,5,0,1,high,0.55,fair
TRIP166,DRV193,2024-02-06,31,12.3,265,512.9,0,0,0,none,0.19,excellent
TRIP167,DRV118,2024-02-06,31,17.4,210,406.45,6,2,2,high,0.47,good
TRIP168,DRV107,2024-02-06,34,17.5,325,573.53,2,0,2,low,0.35,good
TRIP169,DRV047,2024-02-06,18,16.6,404,1346.67,1,0,0,none,0.3,good
TRIP170,DRV063,2024-02-06,28,12.8,224,480.0,5,0,1,high,0.52,fair
TRIP171,DRV048,2024-02-06,19,15.9,217,685.26,2,0,2,medium,0.42,good
TRIP172,DRV007,2024-02-06,34,19.7,354,624.71,7,0,2,high,0.51,fair
TRIP173,DRV096,2024-02-06,35,18.5,300,514.29,1,0,2,medium,0.37,good
TRIP174,DRV085,2024-02-06,26,18.8,215,496.15,2,1,1,medium,0.41,good
TRIP175,DRV046,2024-02-06,24,18.7,366,915.0,2,0,1,low,0.32,good
TRIP176,DRV102,2024-02-06,30,17.3,294,588.0,0,0,0,none,0.21,excellent
TRIP177,DRV046,2024-02-06,30,16.7,204,408.0,0,0,0,none,0.2,excellent
TRIP178,DRV046,2024-02-06,24,9.1,422,1055.0,3,0,2,medium,0.43,good
TRIP179,DRV147,2024-02-06,38,9.9,154,243.16,9,0,1,medium,0.53,fair
TRIP180,DRV175,2024-02-06,26,10.9,295,680.77,8,0,2,high,0.52,fair
TRIP181,DRV133,2024-02-06,19,18.1,272,858.95,0,0,0,none,0.21,excellent
TRIP182,DRV064,2024-02-06,19,17.1,203,641.05,0,0,0,none,0.19,excellent
TRIP183,DRV106,2024-02-06,18,13.4,260,866.67,2,1,1,high,0.42,good
TRIP184,DRV132,2024-02-06,38,16.0,444,701.05,0,0,0,none,0.21,excellent
TRIP185,DRV178,2024-02-06,36,16.1,333,555.0,0,0,0,none,0.21,excellent
TRIP186,DRV107,2024-02-06,28,14.2,238,510.0,0,0,0,none,0.23,excellent
TRIP187,DRV084,2024-02-06,21,9.8,357,1020.0,1,0,1,medium,0.37,good
TRIP188,DRV031,2024-02-06,31,18.7,383,741.29,0,0,0,none,0.21,excellent
TRIP189,DRV018,2024-02-06,34,12.8,426,751.76,5,0,1,high,0.5,fair
TRIP190,DRV165,2024-02-06,36,14.0,356,593.33,0,0,0,none,0.2,excellent
TRIP191,DRV118,2024-02-06,31,17.9,213,412.26,2,0,2,low,0.31,good
TRIP192,DRV191,2024-02-06,32,9.6,402,753.75,0,0,0,none,0.22,excellent
TRIP193,DRV050,2024-02-06,24,13.5,156,390.0,0,0,0,none,0.21,excellent
TRIP194,DRV161,2024-02-06,21,15.2,349,997.14,0,0,0,none,0.2,excellent
TRIP195,DRV160,2024-02-06,27,8.5,218,484.44,1,0,1,low,0.35,good
TRIP196,DRV147,2024-02-06,27,11.5,154,342.22,0,0,0,none,0.22,excellent
TRIP197,DRV052,2024-02-06,36,13.1,296,493.33,6,0,2,high,0.54,fair
TRIP198,DRV192,2024-02-06,33,8.0,420,763.64,1,0,1,low,0.34,good
TRIP199,DRV035,2024-02-06,33,14.9,429,780.0,2,0,1,medium,0.39,good
TRIP200,DRV136,2024-02-06,30,13.7,450,900.0,0,0,0,none,0.22,excellent
TRIP201,DRV060,2024-02-06,38,13.5,370,584.21,1,0,0,none,0.29,excellent
TRIP202,DRV085,2024-02-06,28,9.1,349,747.86,0,0,0,none,0.2,excellent
TRIP203,DRV146,2024-02-06,35,8.5,366,627.43,5,0,1,high,0.54,fair
TRIP204,DRV075,2024-02-06,23,16.5,432,1126.96,2,0,1,medium,0.43,good
TRIP205,DRV033,2024-02-06,27,14.7,203,451.11,0,0,0,none,0.18,excellent
TRIP206,DRV138,2024-02-06,37,14.5,167,270.81,0,0,0,none,0.19,excellent
TRIP207,DRV131,2024-02-06,33,14.0,149,270.91,4,0,2,medium,0.38,good
TRIP208,DRV178,2024-02-06,18,11.3,245,816.67,7,0,2,high,0.56,fair
TRIP209,DRV198,2024-02-06,36,13.3,413,688.33,8,2,3,high,0.49,good
TRIP210,DRV172,2024-02-06,19,13.9,151,476.84,1,0,0,none,0.3,good
TRIP211,DRV205,2024-02-06,18,18.3,302,1006.67,0,0,0,none,0.22,excellent
TRIP212,DRV016,2024-02-06,21,14.5,286,817.14,0,0,0,none,0.18,excellent
TRIP213,DRV067,2024-02-06,20,9.9,348,1044.0,2,0,1,medium,0.39,good
TRIP214,DRV199,2024-02-06,28,10.2,169,362.14,0,0,0,none,0.2,excellent
TRIP215,DRV110,2024-02-06,22,13.0,305,831.82,0,0,0,none,0.22,excellent
TRIP216,DRV012,2024-02-06,19,10.4,445,1405.26,1,0,1,medium,0.38,good
TRIP217,DRV094,2024-02-06,34,12.6,198,349.41,0,0,0,none,0.21,excellent
TRIP218,DRV205,2024-02-06,35,12.9,387,663.43,4,0,2,high,0.41,good
TRIP219,DRV133,2024-02-06,18,11.2,440,1466.67,5,0,2,medium,0.37,good
TRIP220,DRV138,2024-02-06,35,15.8,204,349.71,0,0,0,none,0.22,excellent
